household_email,appliance_number,eer
dshadrick@rantouch.com,3,2
dshin@sonron.com,1,3.4
dshinko@ontomedia.com,3,2.4
dskulski@finhigh.com,2,4.3
dskursky@conecom.com,1,6
dskursky@conecom.com,2,1.7
dskursky@konex.com,4,4.6
dslusarski@doncon.com,1,2.1
dsteffensmeier@cancity.com,3,2.6
dstimmel@dalttechnology.com,3,0.9
dtawil@donware.com,3,3.3
dtollner@ontomedia.com,1,6.7
dtollner@plusstrip.com,1,2.6
dtomasulo@toughzap.com,1,2.3
dturinetti@conecom.com,1,0.8
dturinetti@conecom.com,5,1.4
dupthegrove@year-job.com,1,1.5
dvanheusen@streethex.com,1,2.2
dvanheusen@streethex.com,2,0.9
dwardrip@inity.com,2,2.4
dwardrip@inity.com,3,11.9
dwaymire@hatfan.com,2,2.3
dweglarz@hatfan.com,1,6.4
dwenner@blackzim.com,1,3
dwenner@mathtouch.com,3,5.5
dwiklund@kinnamplus.com,2,6.7
dwiklund@kinnamplus.com,3,7.3
dwiklund@kinnamplus.com,4,2.7
dwiklund@xx-holding.com,3,3.5
dyglesias@sonron.com,1,3.5
dyori@ganjaflex.com,2,2.6
dyori@ganjaflex.com,3,8.1
dyori@ganjaflex.com,4,3.2
dyori@stanredtax.com,2,2.7
dzane@j-texon.com,1,5.7
dzepp@donware.com,2,2.2
eagramonte@openlane.com,7,3.2
eamyot@sumace.com,5,3.5
ebaltimore@labdrill.com,4,0.5
eblunk@plusstrip.com,4,3
eblunk@plusstrip.com,6,3.8
ebuemi@plussunin.com,3,1.1
ecartan@streethex.com,3,6.6
ecaudy@xx-holding.com,3,1.1
ecookey@doncon.com,1,5.3
ecorrington@opentech.com,3,1.9
ecorrio@rundofase.com,1,0.5
edelasancha@betatech.com,1,9.8
edeleo@kan-code.com,4,0.6
edilliard@warephase.com,2,3.4
edubaldi@zumgoity.com,2,3
eduenas@bioplex.com,2,10.4
eehmann@fasehatice.com,1,4.6
eeroman@yearin.com,2,11.8
eeroman@yearin.com,9,1.6
efarrar@fasehatice.com,3,2.5
efeichtner@rangreen.com,3,2
efillingim@codehow.com,3,2.3
efrankel@kan-code.com,1,2.2
egato@streethex.com,1,1.9
egato@streethex.com,3,2.3
egleich@cancity.com,3,1.5
egotter@rundofase.com,2,3.6
ehauenstein@donware.com,1,2.1
ehoffis@groovestreet.com,3,0.8
ehollack@doncon.com,4,0.9
ehoneywell@doncon.com,3,1.4
ejayson@stanredtax.com,1,7.8
ejayson@stanredtax.com,2,3.2
ejeanty@donquadtech.com,3,2.7
ejeanty@donware.com,3,6.6
ejuvera@konex.com,1,7.4
ekaniecki@plexzap.com,1,2.2
ekannady@betatech.com,3,4.6
ekarpin@domzoom.com,1,3.3
eklusman@zoomit.com,1,1.1
ekolmetz@konex.com,5,2.3
ekownacki@donquadtech.com,2,2.8
elabreche@hottechi.com,2,1.5
elabreche@hottechi.com,3,2.4
elietz@betasoloin.com,2,1.6
elietz@betasoloin.com,3,2.1
elipke@blackzim.com,2,3.6
elipke@blackzim.com,4,15.3
emai@warephase.com,1,2.7
emcdoniel@green-plus.com,2,2
emelnyk@dambase.com,2,12
emelnyk@dambase.com,3,2.7
emyricks@betatech.com,1,1.5
enievas@rundofase.com,3,2.6
enunlee@dalttechnology.com,2,2.7
eogg@singletechno.com,1,7.4
eoldroyd@dalttechnology.com,1,1.7
epaa@zumgoity.com,3,2.7
eperez@newex.com,3,2.9
eperin@fasehatice.com,1,8.5
eperin@golddex.com,1,1.6
epolidori@rantouch.com,2,0.7
epolidori@rantouch.com,3,4.7
epontoriero@rundofase.com,3,1.7
epontoriero@rundofase.com,4,4
epontoriero@rundofase.com,5,1.4
epoquette@codehow.com,2,0.4
eragel@yearin.com,3,2.2
eraymo@plussunin.com,1,2.4
ereiber@zathunicon.com,1,8.2
ereiber@zathunicon.com,2,8.9
ereiber@zathunicon.com,5,6.9
ereiber@zathunicon.com,6,2.6
ereiber@zathunicon.com,7,2.6
erentfro@codehow.com,3,6.7
erodenberger@betasoloin.com,2,2
erowling@xx-holding.com,2,1.8
esaras@fasehatice.com,1,2.5
esaras@funholding.com,2,4.3
eschnitzler@zoomit.com,1,4.5
esemidey@dontechi.com,2,1.4
esengbusch@betasoloin.com,1,2.4
esengbusch@betasoloin.com,2,2.4
espickerman@gogozoom.com,4,1.5
espringe@rantouch.com,1,2.2
estaback@stanredtax.com,1,3.8
estenseth@statholdings.com,1,4.2
estenseth@statholdings.com,2,19.9
eswayze@sunnamplex.com,3,11.1
etegarden@plexzap.com,1,2.6
ethreets@xx-holding.com,1,2
ethyberg@xx-zobam.com,1,1.2
ethyberg@xx-zobam.com,2,1.1
etillotson@ron-tech.com,2,2.4
etillotson@ron-tech.com,4,5.4
etillotson@ron-tech.com,6,1.5
etolfree@treequote.com,1,1.7
etolfree@treequote.com,2,2.8
etoyama@y-corporation.com,1,4.9
etoyama@y-corporation.com,3,0.7
etreston@cancity.com,3,5.9
etromblay@sonron.com,1,4
eupthegrove@zumgoity.com,1,1.6
evarriano@nam-zim.com,3,3.4
evocelka@opentech.com,2,2.3
ewalthall@betasoloin.com,2,1
ewolny@year-job.com,2,2.3
ewolny@year-job.com,4,2.3
ezagen@doncon.com,6,9.5
ezagen@silis.com,1,8.2
ezane@labdrill.com,1,4.4
fandreason@kinnamplus.com,2,7.4
fankeny@year-job.com,2,0.8
farceo@bioplex.com,4,5.2
fbartolet@xx-zobam.com,4,1
fbirkner@streethex.com,1,5
fbitsuie@finhigh.com,2,3
fbitsuie@inity.com,1,3.8
fcallaro@groovestreet.com,3,1.4
fcampain@mathtouch.com,1,1.3
fcampain@mathtouch.com,2,0.5
fchaffins@xx-holding.com,1,3.5
fchaffins@xx-holding.com,2,1.9
fchaffins@zathunicon.com,2,1.3
fchaffins@zathunicon.com,7,2.3
fchui@conecom.com,1,4.6
fchui@conecom.com,4,1.8
fchui@conecom.com,5,11
fcomnick@plusstrip.com,3,2.5
fdopico@statholdings.com,3,2.2
fdopico@statholdings.com,4,3.8
ffigeroa@isdom.com,1,1.3
ffigeroa@lexiqvolax.com,6,1.4
fflister@ganjaflex.com,1,4.2
ffortino@faxquote.com,3,1.9
ffrankel@kan-code.com,1,3.4
ffredicks@ganjaflex.com,4,1.7
fgabisi@ontomedia.com,3,2.5
fgood@mathtouch.com,2,4.1
fgrenet@konmatfix.com,2,3.8
fhamilton@golddex.com,2,0.5
fharabedian@funholding.com,3,2.1
fharabedian@xx-zobam.com,3,4.4
fharoldson@sonron.com,5,1.7
fhaufler@donquadtech.com,7,2.6
fhoffis@nam-zim.com,3,1.2
finouye@y-corporation.com,1,2.7
fisenhower@betasoloin.com,2,1.8
fisenhower@betasoloin.com,3,1.8
fisenhower@betasoloin.com,4,1.3
fkannady@treequote.com,1,1.3
fkohnert@condax.com,7,3.4
fkolmetz@xx-holding.com,1,2.1
fkusko@bioholding.com,1,6.7
flary@doncon.com,2,4.3
flatzke@mathtouch.com,1,4.4
flatzke@mathtouch.com,2,2.6
flatzke@mathtouch.com,3,1.8
floder@openlane.com,1,7.1
fmarrier@condax.com,2,1.4
fmconnell@treequote.com,2,2.2
fmerced@iselectrics.com,1,1.7
fmerced@konmatfix.com,1,2
fmodzelewski@conecom.com,1,1.8
fmondella@dambase.com,4,3.1
fneither@statholdings.com,1,1.7
fneither@statholdings.com,5,0.8
fnewville@bioplex.com,2,4.1
fnewville@bioplex.com,3,1.4
fnewville@cancity.com,2,1.4
fnewville@cancity.com,4,4.4
fnunlee@dalttechnology.com,2,2.9
fnunlee@dalttechnology.com,3,2.4
fohms@zumgoity.com,4,1.4
fonofrio@inity.com,1,1.9
fonofrio@inity.com,9,4.9
fpelkowski@sumace.com,1,2.4
fperruzza@codehow.com,2,3.1
fperruzza@codehow.com,5,0.9
frulapaugh@stanredtax.com,4,2.2
frulapaugh@streethex.com,2,2.6
fscriven@streethex.com,1,5.1
fseewald@goodsilron.com,1,2.3
fshealy@labdrill.com,4,3
fshinko@iselectrics.com,1,3.9
fsimilton@toughzap.com,5,5.2
fslusarski@dalttechnology.com,1,1.7
fstem@isdom.com,1,3.6
fstem@isdom.com,2,1.8
fstem@isdom.com,3,12.3
fstem@zotware.com,3,1.2
fstorment@rundofase.com,2,4.1
ftawil@doncon.com,1,2.3
ftawil@doncon.com,3,2
ftolfree@sunnamplex.com,1,2.5
ftolfree@sunnamplex.com,2,1.2
ftolfree@sunnamplex.com,3,1.2
fwalthall@ganjaflex.com,2,1.9
fwalthall@ganjaflex.com,4,0.7
fwalthall@ganjaflex.com,9,0.9
fwalthall@ganjaflex.com,11,1.3
fwhobrey@streethex.com,3,4.6
fwiklund@groovestreet.com,1,0.7
fwildfong@inity.com,1,13.4
fwitten@rantouch.com,1,2.5
fwolny@yearin.com,2,1.9
fworlds@stanredtax.com,1,1.6
fworlds@stanredtax.com,3,2.9
fzagen@donquadtech.com,3,2.2
gamyot@finjob.com,3,2.7
garceo@funholding.com,1,6.9
garceo@labdrill.com,1,2
garceo@labdrill.com,2,1.1
gasar@cancity.com,3,2.3
gauffrey@hottechi.com,1,1.5
gauffrey@konmatfix.com,1,3
gbachman@golddex.com,1,2
gbarfield@plexzap.com,2,1.6
gbatman@streethex.com,1,1.5
gbennick@ganjaflex.com,3,2.5
gberlanga@silis.com,2,2.1
gberray@hottechi.com,2,1.6
gbevelacqua@zencorporation.com,1,0.6
gbolognia@year-job.com,2,4.4
gborgman@singletechno.com,1,8.4
gcaldarera@lexiqvolax.com,6,1.7
gcaldarera@zathunicon.com,4,0.8
gcampain@fasehatice.com,1,4
gcampain@fasehatice.com,3,1.7
gcampain@goodsilron.com,1,5.7
gcetta@zoomit.com,1,3.6
gchaffins@stanredtax.com,3,2.6
gcorrio@plexzap.com,1,6.6
gcorrio@plexzap.com,6,2.8
gcousey@newex.com,2,1.5
gcousey@newex.com,4,2.6
gcoyier@cancity.com,1,0.9
gcoyier@groovestreet.com,6,3.8
gcronauer@xx-holding.com,1,2.2
gcronauer@xx-holding.com,3,2.5
gdelasancha@hottechi.com,5,1.5
gdelasancha@hottechi.com,6,4.5
gdelasancha@scottech.com,1,3.4
gdelasancha@scottech.com,2,1.9
gdopico@warephase.com,3,1.3
gennaco@rundofase.com,1,2.3
gestell@newex.com,3,7.7
gferrario@domzoom.com,1,1.9
gferrario@domzoom.com,2,3.3
gferrario@domzoom.com,6,1.1
gferrario@konex.com,3,3.6
gfigeroa@kinnamplus.com,1,1.4
gfishburne@plusstrip.com,1,1.3
gflosi@faxquote.com,1,3.8
gfritz@donware.com,1,4.6
ggabisi@ganjaflex.com,4,4.6
ggellinger@codehow.com,3,6.3
ggellinger@xx-zobam.com,1,11.4
ggellinger@xx-zobam.com,2,2.2
ggesick@nam-zim.com,2,11.4
ggleich@zathunicon.com,1,1.6
ggleich@zathunicon.com,2,4
ggoldammer@plexzap.com,2,3.3
ggoldammer@plexzap.com,3,2.9
ggotter@zumgoity.com,4,2.5
ggotter@zumgoity.com,6,2.6
ggreenbush@zotware.com,1,5.6
ggrenet@faxquote.com,2,1.5
ggrenet@faxquote.com,6,1.7
ghamilton@ganjaflex.com,1,2.3
ghoa@inity.com,4,1.5
ghoffis@year-job.com,2,7
ghoffis@year-job.com,3,6.5
ghughey@golddex.com,2,2.8
gkannady@finhigh.com,4,1.4
gkeener@plussunin.com,4,1.5
gkiel@plussunin.com,3,2.8
gkippley@xx-holding.com,5,2.8
gklusman@openlane.com,6,1.9
gknipp@scotfind.com,2,6.7
gknipp@scotfind.com,6,1.2
gkusko@singletechno.com,2,4.9
gkusko@singletechno.com,3,1.7
glary@ganjaflex.com,1,2.9
glawler@hottechi.com,3,1.6
glimmel@scottech.com,1,1.8
glimmel@scottech.com,2,1.9
glimmel@scottech.com,3,1.3
glimmel@scottech.com,5,4.3
glindall@rundofase.com,3,1.6
gliukko@kinnamplus.com,1,1.5
gliukko@kinnamplus.com,2,1.7
gloader@dontechi.com,3,1.8
glukasik@streethex.com,1,6.5
gmadarang@dalttechnology.com,2,6
gmallett@konmatfix.com,2,4
gmallett@konmatfix.com,3,8.6
gmallett@konmatfix.com,4,2.9
gmarrier@rantouch.com,2,1.2
gmarrier@rantouch.com,3,1.5
gmaybury@openlane.com,1,6.6
gmcnease@betasoloin.com,2,3.9
gmcnease@betasoloin.com,3,0.7
gmcrae@inity.com,1,2.3
gmcrae@inity.com,6,3.2
gmeteer@scottech.com,1,1.6
gmirafuentes@condax.com,3,1.8
gmorasca@sunnamplex.com,2,3.1
gnicka@ron-tech.com,4,2.4
gnunlee@treequote.com,3,3.5
gpapasergi@scottech.com,2,1.4
gpedrozo@betatech.com,3,1.2
gpedrozo@betatech.com,5,1.6
gpedrozo@betatech.com,6,1.3
gperez@zumgoity.com,2,2.5
gperin@treequote.com,1,9.6
gperin@year-job.com,2,0.8
grentfro@treequote.com,2,2
grhymes@konmatfix.com,1,5
grhymes@konmatfix.com,2,4.7
grhymes@konmatfix.com,3,2.9
grhymes@konmatfix.com,4,2.9
grodeigues@hatfan.com,2,1.8
gryser@codehow.com,1,2.6
gsamara@mathtouch.com,3,1.2
gsamara@mathtouch.com,4,2
gsamara@mathtouch.com,6,1.3
gsamu@funholding.com,2,3.9
gsaras@doncon.com,1,5.2
gsaras@doncon.com,2,4.6
gsaras@doncon.com,3,5.6
gsaras@doncon.com,6,9.6
gsaras@doncon.com,7,2.2
gschieler@finhigh.com,4,1.1
gschoeneck@y-corporation.com,1,3.5
gsengbusch@treequote.com,4,2.7
gshadrick@plusstrip.com,1,4.5
gshire@kinnamplus.com,2,2.4
gshire@kinnamplus.com,4,8.4
gsimilton@kan-code.com,1,1.3
gskulski@zotware.com,1,5
gskulski@zotware.com,3,8.9
gskulski@zotware.com,4,2.2
gsmith@doncon.com,1,0.7
gspringe@bioplex.com,1,2.8
gspringe@bioplex.com,3,3.4
gstockham@sunnamplex.com,4,1.9
gtheodorov@funholding.com,3,0.9
gthyberg@ron-tech.com,3,2.6
gtimenez@y-corporation.com,1,4.6
gtjepkema@plusstrip.com,3,2.6
gtjepkema@plusstrip.com,4,1.6
gtjepkema@plusstrip.com,6,1.6
gtomasulo@scottech.com,1,1.3
gtomasulo@scottech.com,2,0.8
gtomasulo@year-job.com,1,1.4
gtomblin@statholdings.com,3,3.9
gtoyama@streethex.com,1,1.6
gtoyama@streethex.com,2,1.5
gtoyama@streethex.com,3,9.1
gturinetti@mathtouch.com,3,16.2
gvanheusen@faxquote.com,3,1.9
gvenere@gogozoom.com,1,0.6
gvenere@gogozoom.com,2,0.3
gvenere@gogozoom.com,4,0.5
gvenere@gogozoom.com,8,0.4
gventura@toughzap.com,3,1.5
gvinning@golddex.com,4,2.5
gwaycott@goodsilron.com,1,4.1
gwaycott@sumace.com,1,1.3
gwaycott@sumace.com,4,4.8
gweglarz@opentech.com,1,1.5
gwieser@bioholding.com,4,1.7
gwiklund@cancity.com,3,8
gwildfong@kan-code.com,1,4.8
gwrinkles@hatfan.com,2,3.8
habdallah@golddex.com,2,1.5
habdallah@golddex.com,3,1.5
hboulter@cancity.com,2,1.9
hbuemi@newex.com,3,9.1
hbuemi@newex.com,4,1.4
hburnard@finjob.com,1,25.9
hcandlish@kinnamplus.com,3,2
hcanlas@gogozoom.com,3,6.6
hcaudy@dalttechnology.com,1,2.2
hchavous@gogozoom.com,4,2.7
hchickering@dambase.com,1,1
hcomnick@opentech.com,2,4.3
hdelasancha@finjob.com,2,0.5
hdemesa@zoomit.com,3,1.4
hdemesa@zoomit.com,5,1.6
hdemesa@zoomit.com,6,1.6
hdewar@dambase.com,1,7.2
hdilliard@zumgoity.com,2,1.9
hdopico@zencorporation.com,1,4.3
hdubaldi@green-plus.com,2,8.4
hdubaldi@green-plus.com,3,5.7
hfillingim@kan-code.com,1,1.4
hfillingim@opentech.com,1,21.3
hfoller@doncon.com,6,3.4
hfrancescon@iselectrics.com,3,2.8
hfrey@inity.com,4,6.2
hfunnell@zencorporation.com,4,3.1
hgiguere@zotware.com,1,5.3
hhanafan@warephase.com,3,2.6
hharabedian@zotware.com,1,1.8
hheintzman@zencorporation.com,2,3.9
hheintzman@zencorporation.com,3,2.5
hhirpara@dalttechnology.com,2,1.3
hhoneywell@groovestreet.com,1,1.6
hhoneywell@labdrill.com,1,1.9
hhughey@ganjaflex.com,1,3.8
hhughey@ganjaflex.com,4,3.6
hjacobos@scotfind.com,1,2
hkalafatis@openlane.com,2,13.9
hkippley@faxquote.com,4,4.9
hkorando@domzoom.com,3,1.5
hlinahan@scottech.com,1,3.2
hlinahan@scottech.com,2,10.9
hlorens@dontechi.com,3,2.5
hlouissant@j-texon.com,1,1.3
hmaillard@hatfan.com,1,5.4
hmalet@funholding.com,2,5.3
hmalet@funholding.com,4,1.5
hmalvin@scotfind.com,1,7.7
hmalvin@scotfind.com,2,1.4
hmalvin@scotfind.com,3,1.2
hmarrier@condax.com,1,13.9
hmclaird@bioplex.com,2,8.4
hmconnell@conecom.com,1,2.3
hmcrae@konex.com,1,3
hmyricks@lexiqvolax.com,1,3.8
hmyricks@lexiqvolax.com,3,3.2
hnachor@green-plus.com,3,1.8
hostrosky@goodsilron.com,1,3.5
hostrosky@goodsilron.com,3,3.3
hpadilla@zathunicon.com,1,1.2
hrochin@doncon.com,1,13.3
hsaulter@ontomedia.com,4,1.2
hsaulter@scotfind.com,3,3.3
hsaulter@scotfind.com,8,2.2
hsaulter@scotfind.com,9,6.3
hscheyer@goodsilron.com,5,4.2
hsetter@bioholding.com,2,6.4
hsetter@bioholding.com,3,2.1
hsetter@bioholding.com,5,6.4
hslayton@ontomedia.com,3,15.4
hstimmel@bioholding.com,3,1.3
hstorment@konmatfix.com,3,2
htawil@conecom.com,1,3.1
hthreets@gogozoom.com,2,2.4
hvanheusen@nam-zim.com,1,2.3
hvanheusen@nam-zim.com,2,2.1
hvanheusen@nam-zim.com,4,2.4
hvillanueva@mathtouch.com,2,5.5
hweglarz@plexzap.com,2,13.3
ibachman@zoomit.com,2,1.7
icantres@codehow.com,1,4.4
ifeichtner@silis.com,4,3.7
ihagele@funholding.com,2,2
ihagele@funholding.com,3,10.9
ihaufler@inity.com,1,2.4
ikoppinger@stanredtax.com,1,1.6
ikoppinger@stanredtax.com,6,1.9
imanno@finhigh.com,2,1.2
imanno@finhigh.com,4,0.6
imanno@finhigh.com,6,0.4
imaynerich@newex.com,2,0.7
imaynerich@newex.com,3,0.9
imunns@dontechi.com,2,2.7
inicka@faxquote.com,1,7.2
iostrosky@finhigh.com,1,12.2
isamara@isdom.com,3,2
iscipione@j-texon.com,6,2.5
iscipione@j-texon.com,8,1.5
itomasulo@zotware.com,1,3.1
itomasulo@zotware.com,3,3.1
iwolny@finhigh.com,3,2.3
jahle@xx-zobam.com,1,12.5
jankeny@betasoloin.com,3,1
jarias@labdrill.com,4,2.2
jarias@labdrill.com,5,1.7
jarias@labdrill.com,7,2.4
jauffrey@rantouch.com,2,1.2
jauffrey@rantouch.com,3,2
jbeech@dalttechnology.com,1,4.6
jbeech@dalttechnology.com,2,2.2
jbeech@dalttechnology.com,3,1.6
jbeech@zumgoity.com,1,4.2
jbenimadho@blackzim.com,3,1.8
jberlanga@ganjaflex.com,1,30.8
jbevelacqua@codehow.com,1,2.7
jbitsuie@yearin.com,1,1.8
jboulter@groovestreet.com,1,1.9
jboulter@groovestreet.com,3,1.6
jbourbon@funholding.com,3,4.7
jbrideau@finhigh.com,1,3
jbuemi@mathtouch.com,1,3.7
jbuvens@toughzap.com,2,1.2
jcampain@betasoloin.com,2,3.9
jcandlish@zencorporation.com,1,4.4
jcantres@sumace.com,3,0.9
jcartan@golddex.com,1,1.2
jcartan@opentech.com,2,2.6
jchavous@xx-zobam.com,2,1.9
jchesterfield@konmatfix.com,1,2
jcolla@hatfan.com,1,1.6
jcomnick@zathunicon.com,3,2.4
jcoody@codehow.com,8,1.4
jcorbley@konmatfix.com,1,0.9
jcorbley@konmatfix.com,2,0.9
jcorbley@konmatfix.com,3,2
jdegroot@labdrill.com,3,13.1
jdeleo@konmatfix.com,1,7.1
jdemesa@bioplex.com,1,5.5
jdenooyer@treequote.com,2,1.3
jdewar@warephase.com,1,4.1
jdrymon@faxquote.com,1,3
jemigh@groovestreet.com,2,3.6
jengelberg@opentech.com,1,0.9
jennaco@labdrill.com,1,1.9
jennaco@labdrill.com,5,2.5
jennaco@labdrill.com,6,1.5
jennaco@statholdings.com,1,3.5
jfarrar@bioplex.com,2,1
jfarrow@condax.com,2,2
jfarrow@condax.com,4,1.1
jfern@toughzap.com,3,3
jfillingim@zathunicon.com,3,5.7
jflister@lexiqvolax.com,1,4.1
jflister@lexiqvolax.com,2,2.3
jfrankel@silis.com,3,1.7
jfredicks@bioholding.com,2,1.3
jfredicks@hatfan.com,5,0.9
jfredicks@hatfan.com,6,1.1
jfredicks@konex.com,1,1.8
jfredicks@konex.com,2,2.1
jfunnell@dambase.com,1,1.9
jfunnell@konmatfix.com,3,0.6
jgabisi@kan-code.com,1,4.4
jgato@stanredtax.com,1,4.5
jgibes@donquadtech.com,1,1.1
jgibes@donquadtech.com,4,1.2
jglick@plussunin.com,3,3
jhagele@hatfan.com,2,2.7
jharnos@hatfan.com,1,2.2
jharoldson@j-texon.com,2,3.8
jharoldson@j-texon.com,5,1.3
jhaufler@y-corporation.com,2,4.7
jhaufler@y-corporation.com,4,0.8
jhiatt@kan-code.com,1,1.4
jhiatt@rangreen.com,1,14.5
jhiatt@rangreen.com,3,2.5
jhidvegi@labdrill.com,1,3
jhidvegi@toughzap.com,1,6.9
jhochard@condax.com,1,3.2
jhoopengardner@golddex.com,1,1.6
jhusser@zumgoity.com,4,7.8
jisaacs@domzoom.com,2,1.9
jisaacs@plussunin.com,2,2
jjacobos@ganjaflex.com,2,4.7
jjillson@ontomedia.com,2,1.6
jjillson@ontomedia.com,4,1.6
jjillson@zoomit.com,2,4
jkalafatis@conecom.com,4,2.2
jkaniecki@ron-tech.com,2,2.6
jketelsen@konmatfix.com,1,6.3
jketelsen@konmatfix.com,2,3.4
jketelsen@konmatfix.com,3,5.6
jketelsen@zotware.com,2,6
jkiel@isdom.com,1,6.2
jkitzman@newex.com,2,2.1
jklang@blackzim.com,1,11.5
jklusman@newex.com,1,3.9
jklusman@newex.com,2,2.6
jklusman@newex.com,3,3.3
jklusman@rantouch.com,4,3.2
jkusko@kan-code.com,1,2.2
jlawler@zoomit.com,2,3.5
jlawler@zoomit.com,3,1.6
jlawler@zoomit.com,4,1.3
jlietz@plexzap.com,2,4.4
jlietz@plexzap.com,3,16.8
jlindall@ron-tech.com,6,1.3
jlizama@conecom.com,1,5.2
jlizama@conecom.com,3,3.5
jlouissant@finjob.com,1,6.7
jlungren@opentech.com,1,2.7
jmaclead@blackzim.com,1,0.7
jmai@finhigh.com,1,1.7
jmai@finhigh.com,5,12.1
jmai@finhigh.com,9,2.5
jmai@opentech.com,1,1.9
jmai@opentech.com,4,2.2
jmaillard@ganjaflex.com,1,9.7
jmaillard@ganjaflex.com,3,1.5
jmaillard@ganjaflex.com,5,5.9
jmallett@openlane.com,1,3.5
jmarrier@kinnamplus.com,2,0.4
jmarrier@kinnamplus.com,3,0.6
jmastella@warephase.com,2,5.1
jmaynerich@konex.com,1,2.7
jmaynerich@konex.com,2,7.2
jmclaird@konmatfix.com,1,3.7
jmcrae@newex.com,3,1.9
jmenter@streethex.com,2,1
jmerced@mathtouch.com,2,3.7
jmondella@betatech.com,3,4.4
jmondella@domzoom.com,1,1.7
jmondella@scotfind.com,3,1.2
jmondella@scotfind.com,5,3.7
jmonterrubio@isdom.com,1,3.3
jmonterrubio@isdom.com,3,2.2
jmotley@warephase.com,2,6
jmyricks@plussunin.com,1,2
jnievas@mathtouch.com,1,2.8
jogg@ron-tech.com,2,1.4
jpatak@treequote.com,3,1.1
jpatak@treequote.com,5,1.1
jperigo@hatfan.com,3,2.2
jperigo@hatfan.com,4,2.2
jpoquette@betatech.com,1,2.2
jpoquette@betatech.com,2,19.8
jpoquette@betatech.com,3,3.1
jpoquette@ron-tech.com,1,5.6
jrantanen@ron-tech.com,3,14.4
jrantanen@year-job.com,1,2.7
jrauser@inity.com,2,0.6
jregusters@openlane.com,1,1.1
jreiber@ron-tech.com,3,1.6
jreiber@ron-tech.com,6,1.5
jrhym@bioplex.com,2,1.9
jrim@plexzap.com,1,4.1
jrim@plexzap.com,3,1.7
jrim@plexzap.com,4,2.2
jriopelle@openlane.com,1,2
jrodefer@j-texon.com,1,21.2
jrodeigues@treequote.com,3,3.8
jsarao@zencorporation.com,3,2.7
jsaras@singletechno.com,2,2.8
jschmierer@golddex.com,4,1.4
jscipione@year-job.com,2,1.5
jscipione@year-job.com,3,1.4
jscriven@doncon.com,1,3.8
jscriven@doncon.com,2,1.2
jscriven@doncon.com,3,8.1
jscriven@doncon.com,5,3.6
jscriven@warephase.com,1,2.7
jscriven@warephase.com,2,7.8
jsetter@labdrill.com,1,4
jshin@finjob.com,3,1.7
jshinko@ontomedia.com,2,6
jsimilton@j-texon.com,3,5.3
jsimilton@j-texon.com,5,4.2
jsimilton@j-texon.com,6,1.4
jslusarski@xx-zobam.com,4,0.7
jsmith@zathunicon.com,5,3.3
jstaback@lexiqvolax.com,4,5.7
jstockham@gogozoom.com,3,0.6
jstrassner@faxquote.com,2,2.4
jsweigard@isdom.com,1,1.5
jsyrop@hatfan.com,1,1.3
jsyrop@hatfan.com,2,2
jtegarden@isdom.com,3,3.5
jtheodorov@kan-code.com,3,1.1
jtillotson@ontomedia.com,2,2
jtillotson@ontomedia.com,3,9.4
jtimenez@hatfan.com,2,2.3
jtomasulo@scottech.com,3,8.6
jtomasulo@scottech.com,6,3.7
jtomasulo@scottech.com,7,5.4
jtomblin@scotfind.com,3,1.3
juyetake@xx-holding.com,3,5.9
jvenere@warephase.com,3,2
jvinning@kinnamplus.com,1,4.6
jvinning@kinnamplus.com,2,4.2
jvinning@kinnamplus.com,3,9.9
jvizarro@ganjaflex.com,2,1.2
jwalthall@ontomedia.com,1,1.5
jwrinkles@zoomit.com,3,0.9
jyglesias@zumgoity.com,1,3.7
jyglesias@zumgoity.com,7,6.5
jyglesias@zumgoity.com,10,1.1
jyori@fasehatice.com,2,1.9
jzepp@condax.com,1,4
kagramonte@labdrill.com,2,0.3
kagramonte@labdrill.com,3,0.3
kalbares@openlane.com,3,6.1
kamyot@labdrill.com,1,1.7
kamyot@labdrill.com,2,1.6
kamyot@labdrill.com,3,1.6
kangalich@blackzim.com,1,3
kauber@finjob.com,3,2.8
kbachman@scottech.com,2,2.4
kbenimadho@hatfan.com,1,4
kbergesen@xx-holding.com,3,4.9
kberlanga@finjob.com,4,3.5
kbevelacqua@blackzim.com,4,2.5
kbevelacqua@xx-zobam.com,2,1.5
kbirkner@statholdings.com,1,6.1
kbreland@iselectrics.com,1,3.9
kbreland@iselectrics.com,3,1.3
kbreland@kinnamplus.com,1,3.1
kbrossart@dontechi.com,2,2.9
kbrossart@dontechi.com,3,1.9
kcaiafa@blackzim.com,1,2.7
kcaiafa@blackzim.com,2,1.5
kcampain@cancity.com,1,5.9
kcampain@xx-zobam.com,1,1.3
kcampain@xx-zobam.com,2,3.8
kcampain@xx-zobam.com,3,1.4
kcartan@inity.com,3,1.2
kcartan@rantouch.com,2,2.2
kcaudy@kinnamplus.com,2,10.2
kcaudy@singletechno.com,1,6.8
kcetta@plexzap.com,1,2.8
kcetta@plexzap.com,3,3.6
kcorrio@konmatfix.com,2,2.2
kcousey@zotware.com,1,2.6
kcousey@zotware.com,2,4.5
kdegroot@bioholding.com,2,1.1
kdelasancha@codehow.com,3,2.3
kdemesa@lexiqvolax.com,1,9.8
kdemesa@openlane.com,2,1.1
kdemesa@openlane.com,3,0.8
kdemesa@openlane.com,5,3.9
