household_email,appliance_number,hspf,seer
dstimmel@dalttechnology.com,2,16.9,49.6
dtoelkes@bioplex.com,1,17.5,56.9
dtomasulo@toughzap.com,7,22.4,35.9
dturinetti@conecom.com,3,21.6,55.1
dwieser@kan-code.com,1,25.9,30.7
dwiklund@kinnamplus.com,6,20.6,24.8
dzurcher@finjob.com,1,21.7,29.6
eblunk@plusstrip.com,8,20.9,30.1
ebriddick@ontomedia.com,1,16.7,56.3
ecartan@labdrill.com,1,25.7,61.6
ecartan@streethex.com,2,20.5,45.1
eeroman@yearin.com,8,15.2,35.4
emelnyk@dambase.com,4,16.9,20.8
emyricks@betatech.com,2,23.4,55
eragel@yearin.com,1,31,48
erhymes@faxquote.com,1,16.1,55.7
erim@zathunicon.com,1,26.5,49.1
erulapaugh@groovestreet.com,1,21.5,59.6
esaras@y-corporation.com,1,22.7,42.1
eskursky@singletechno.com,3,28,45.8
etoyama@y-corporation.com,2,24.7,52.6
fbubash@nam-zim.com,1,23.1,27.1
fcaudy@newex.com,2,17.6,44.3
fduenas@labdrill.com,1,21.2,34.8
fflister@ganjaflex.com,2,14.5,40
ffredicks@ganjaflex.com,2,20.8,46.5
fhollack@sonron.com,2,18.5,33.7
florens@y-corporation.com,1,23.9,47.3
fonofrio@inity.com,4,18.6,49.4
fstem@zotware.com,1,19,43.7
fstem@zotware.com,2,23.7,43.3
fwalthall@ganjaflex.com,10,23.3,37.6
gamyot@finjob.com,2,29.2,38.4
garedondo@year-job.com,2,18.2,42.5
gcaldarera@zathunicon.com,3,17.4,54
gchui@fasehatice.com,1,22.9,44.9
gcorrington@ontomedia.com,1,26.7,61
gcorrington@ontomedia.com,2,21.9,48.2
gdelasancha@j-texon.com,1,23.1,60.1
gdelasancha@j-texon.com,3,18.1,55
gdelasancha@scotfind.com,1,26.7,67.5
gdelasancha@sumace.com,1,27.6,42.4
gduenas@iselectrics.com,2,26.3,63.2
gfishburne@dambase.com,1,16.8,36.8
ggiguere@scotfind.com,4,28.2,43.5
ggiguere@singletechno.com,1,24.1,41.1
ggood@silis.com,2,25.1,33.5
ghoffis@ganjaflex.com,3,16.4,58.7
gkannady@yearin.com,1,20.1,28
gkardas@ganjaflex.com,1,19.7,53.4
gkippley@xx-holding.com,7,20.3,30.8
glipkin@iselectrics.com,1,21.8,42.4
glueckenbach@faxquote.com,2,22.1,37
gmiceli@betasoloin.com,1,24.5,41
gparlato@faxquote.com,3,19.5,24.1
gpedrozo@betatech.com,12,15.4,37.7
gwrinkles@hatfan.com,7,22.6,37.9
hdemesa@zoomit.com,2,11.1,42.2
hdemesa@zoomit.com,7,27.7,56.2
hfillingim@kan-code.com,3,20.5,44
hkippley@faxquote.com,3,21.4,46.2
hkownacki@kan-code.com,7,23.4,39.4
hlouissant@rundofase.com,3,13.4,45.3
hventura@inity.com,7,18.2,30.5
hweglarz@plexzap.com,3,21.5,40.3
iandreason@plusstrip.com,1,23.2,36.2
iauffrey@plussunin.com,3,21.8,35.6
iauffrey@plussunin.com,4,24.9,50.6
idubaldi@zumgoity.com,1,17.5,36
ipaa@plexzap.com,2,16.7,19.8
jbeech@zumgoity.com,3,25.8,45.6
jborgman@codehow.com,2,24.2,47.4
jbourbon@y-corporation.com,1,21.9,51.6
jchui@donquadtech.com,3,28.2,30.6
jemigh@dambase.com,3,22.6,41.7
jfillingim@zathunicon.com,4,23.8,56.8
jfishburne@xx-zobam.com,3,28.6,56.2
jflister@lexiqvolax.com,3,19,40.9
jfredicks@konex.com,3,21.7,47.8
jgalam@statholdings.com,1,20.3,35.3
jgleich@treequote.com,2,21.8,47.6
jkusko@kan-code.com,4,18.5,78.1
jlungren@faxquote.com,2,29.2,33
jmondella@scotfind.com,2,24.4,43.5
jmunns@openlane.com,1,22.7,29.8
jogg@ron-tech.com,3,23.8,41.6
jogg@ron-tech.com,5,22.1,40.3
jrim@konex.com,4,19.7,33.8
jsaylors@ontomedia.com,3,26,39.3
jsimilton@j-texon.com,1,29.6,48.6
jspickerman@donquadtech.com,2,20,26.5
jsteier@streethex.com,1,17.9,55.5
jtheodorov@kan-code.com,2,20.1,51.5
jvinning@isdom.com,1,25.4,53.2
jvinning@isdom.com,3,26.7,34.3
kberlanga@finjob.com,3,22.1,58.3
kberlanga@ron-tech.com,1,22.6,34.8
kbirkner@statholdings.com,3,17.2,58.8
kdegonia@donware.com,1,19.5,43.4
kdegroot@bioholding.com,1,19.8,56.4
kfrey@zathunicon.com,2,28,42.1
kjacobos@toughzap.com,3,25.9,54.7
kkannady@zencorporation.com,4,25.4,41.3
kkardas@xx-zobam.com,1,22.6,48.3
kmodzelewski@rangreen.com,1,17.7,42.5
kmonterrubio@golddex.com,2,21.4,40.7
kmorasca@statholdings.com,4,24.4,49.2
knestle@nam-zim.com,3,19,48.3
kpaa@hottechi.com,1,24.6,29.5
kradde@finhigh.com,2,25,25.3
kscipione@bioplex.com,1,23,60.9
kshin@codehow.com,1,18.3,50.8
kskursky@openlane.com,3,21.5,42.2
ksteier@labdrill.com,2,14.5,43.8
kvanheusen@j-texon.com,1,18.7,49.1
lbriddick@singletechno.com,4,18.6,51.1
ldegonia@inity.com,2,27.4,38.3
ldewar@y-corporation.com,7,18.8,54.9
lemard@dalttechnology.com,2,22.7,45.1
lemigh@betasoloin.com,3,21.1,50.1
lfigeroa@mathtouch.com,2,21.5,45.8
lgleich@plusstrip.com,3,26.2,43.6
lgleich@scottech.com,3,25.7,47.4
lheintzman@plexzap.com,1,25,32.7
lhiatt@j-texon.com,1,22.3,49.7
ljillson@labdrill.com,3,15.7,26.7
lkeener@iselectrics.com,1,25.1,28.1
lkeneipp@streethex.com,1,23,54.7
llary@inity.com,4,21.4,43.9
lmadarang@ontomedia.com,7,20.8,49
lmalvin@labdrill.com,2,23.9,51.1
lmalvin@labdrill.com,5,16.9,52.1
lmerced@zumgoity.com,1,23,51.7
lmerced@zumgoity.com,2,26.5,33.8
lmeteer@plusstrip.com,6,23.4,36.9
lmorocco@newex.com,1,23.4,44.4
lmyricks@openlane.com,4,15.7,42.3
lperigo@lexiqvolax.com,4,18.5,36.5
lrhym@rundofase.com,1,22.8,51.1
lroyster@sunnamplex.com,6,15.7,42.7
lsarao@lexiqvolax.com,1,19.4,59.8
lscipione@zathunicon.com,4,21.2,31.3
lsengbusch@toughzap.com,3,24.7,41.4
lsilvestrini@zotware.com,1,28.5,29.7
lspringe@ganjaflex.com,4,22.1,37
lthyberg@toughzap.com,1,18.4,47.6
ltollner@golddex.com,3,21.6,37.4
ltomblin@plusstrip.com,5,19,27.5
ltomblin@plusstrip.com,6,25.8,41.7
ltoyama@rundofase.com,2,15.3,31.5
lvizarro@hatfan.com,9,25.7,49.5
lweglarz@codehow.com,1,22.9,34.2
lweirather@sunnamplex.com,1,24.5,30.1
lyglesias@dalttechnology.com,1,24.7,27.6
mamigon@ganjaflex.com,1,20.5,40.6
maquas@conecom.com,1,20.2,45.8
mbatman@doncon.com,1,24.9,39.5
mbiddy@rundofase.com,3,26.1,30.1
mengelberg@zumgoity.com,2,15.8,58.1
mfallick@finhigh.com,1,25.9,46.3
mfillingim@bioplex.com,1,19.4,49.4
mheintzman@codehow.com,1,21.3,49.3
mhirpara@cancity.com,1,31.7,60
mhughey@zencorporation.com,4,25.7,54.5
mjillson@betatech.com,1,18.2,28.7
mjulia@fasehatice.com,1,12.8,16.5
mkolmetz@bioholding.com,1,15,62.1
mlary@singletechno.com,2,28.1,45.2
mleinenbach@donquadtech.com,2,26.1,56.4
mluczki@rantouch.com,2,18.9,33.3
mpalaspas@ganjaflex.com,6,23,30.5
mrim@groovestreet.com,2,20.3,55.4
mrowling@zotware.com,2,21.7,38.9
mroyster@dontechi.com,2,17.9,65
mstenseth@plusstrip.com,2,16.7,27.4
mstockham@zumgoity.com,3,22.2,36.8
mtomasulo@isdom.com,3,29.4,51.8
myum@dambase.com,2,23.8,50.4
nbennick@groovestreet.com,1,25.5,32.4
nbrucato@conecom.com,1,19.7,51.9
nclaucherty@codehow.com,6,16.6,42.2
ncolaizzo@scottech.com,3,24.3,50.3
ncorrio@toughzap.com,1,22.7,56
nfortino@gogozoom.com,7,13.5,36
nglick@betatech.com,1,23.1,39.7
nmatuszak@golddex.com,4,22.3,35.6
nsimilton@kan-code.com,3,22.4,45.1
ohudnall@ron-tech.com,3,23.6,57
omaclead@kinnamplus.com,2,28,39.9
opaa@codehow.com,1,15.5,36.7
pbookamer@donware.com,1,21.8,52.5
ppolidori@golddex.com,1,22.5,27.3
prentfro@singletechno.com,6,19.9,46.1
qflosi@domzoom.com,2,18.3,49.1
qmcrae@domzoom.com,2,21,36.7
qpapasergi@stanredtax.com,7,19.2,28.3
rbergesen@kinnamplus.com,4,21,49.6
rblackwood@zumgoity.com,3,19.8,35
rbolognia@finhigh.com,4,21.8,47
rdickerson@groovestreet.com,7,21.4,35.1
rhaufler@faxquote.com,1,18.8,42
rhaufler@stanredtax.com,1,19.4,34.7
rhochard@plussunin.com,3,22.4,44.6
rmenter@inity.com,3,23.4,44.3
rnestle@scotfind.com,3,24.4,49.2
rostrosky@stanredtax.com,1,25.9,32.4
rstem@inity.com,3,26.1,38.6
rsturiale@y-corporation.com,3,17.8,41.2
rworlds@singletechno.com,6,21.7,44.9
sagramonte@donquadtech.com,6,19,48.1
sbourbon@fasehatice.com,1,17.3,34.5
sduenas@plussunin.com,4,15.6,29.6
semigh@finjob.com,3,19.9,46.3
sfallick@warephase.com,2,22.5,39.8
sfelger@fasehatice.com,3,22.4,49.4
sflosi@goodsilron.com,4,25.9,40.3
sfrankel@fasehatice.com,2,28.4,42.2
sgarufi@rundofase.com,1,18.5,32.3
shauenstein@scotfind.com,2,17.9,33.7
shirpara@cancity.com,3,16.9,44.1
sjuvera@year-job.com,1,24.8,46.1
skitzman@fasehatice.com,1,23.4,55.3
slorens@openlane.com,5,22.3,54.8
sluczki@codehow.com,3,20.1,43.7
smonarrez@rantouch.com,2,21.5,58.7
snicka@doncon.com,3,19.9,40.2
sogg@donware.com,1,26.5,64.4
sogg@donware.com,2,23.1,38.2
sperin@silis.com,4,21.1,41.4
sperruzza@kinnamplus.com,4,22.9,40
spolidori@year-job.com,2,24.4,38.1
stegarden@rantouch.com,2,12.2,48.1
suyetake@plussunin.com,2,24.1,47.5
swolny@gogozoom.com,3,25.8,57.3
tandreason@fasehatice.com,1,21.9,62.6
tbirkner@zoomit.com,3,24.4,38.9
tbrachle@plusstrip.com,3,20.4,36.5
tdelasancha@konex.com,1,28.6,38.2
tdevreese@plusstrip.com,1,20.8,49.1
tfoller@zencorporation.com,2,17.3,63.3
thudnall@finhigh.com,1,20.4,55.8
thudnall@kan-code.com,2,13.4,62.5
tinouye@mathtouch.com,1,17.9,52.3
tmaisto@zathunicon.com,1,21.8,67.3
tmenter@dalttechnology.com,1,26.4,60.8
toldroyd@rantouch.com,1,12.3,42.1
tpagliuca@conecom.com,2,24.9,29.9
tpalaspas@bioplex.com,1,23.6,43.1
trentfro@streethex.com,1,18.1,45.3
tsahagun@nam-zim.com,2,16.2,28.9
tstem@rangreen.com,5,27.4,50.3
ttegarden@toughzap.com,3,23.7,39.7
tweglarz@golddex.com,1,23.2,50.4
vgrenet@cancity.com,6,21.1,33.5
vpedrozo@scottech.com,2,16,48.3
vweglarz@cancity.com,6,15.2,58.1
vwolfgramm@plexzap.com,1,25.8,58.6
wbartolet@plussunin.com,1,26.5,47.7
wbriddick@stanredtax.com,1,27.3,52
wgoldammer@zotware.com,5,23,51.4
wkownacki@treequote.com,2,21.6,15.4
wnabours@nam-zim.com,1,23.9,40.7
wpawlowicz@rantouch.com,3,32.4,49.6
wstockham@conecom.com,1,20.2,24.6
wtreston@cancity.com,6,28.6,38.8
xfarrow@zencorporation.com,1,23.5,57.8
ychaffins@fasehatice.com,2,22.9,54
ycoody@faxquote.com,4,22.9,55.1
yferencz@kinnamplus.com,1,20.9,62.9
yjayson@green-plus.com,2,24,44.1
ylietz@domzoom.com,1,13.9,63.9
akarpin@singletechno.com,7,22.1,40.3
ameteer@betatech.com,3,21.2,51.4
chagele@donquadtech.com,2,30.4,63.7
dangalich@silis.com,1,25,40.6
dgleich@sumace.com,4,18.6,48.1
dhughey@newex.com,1,24.9,31.6
emyricks@dalttechnology.com,1,23.5,30.4
evillanueva@scottech.com,1,22.7,60.1
gberray@hottechi.com,1,20,31.9
gdelasancha@hottechi.com,1,24.5,53.9
gferrario@domzoom.com,3,14.2,35
hheintzman@zencorporation.com,1,20.6,47.1
holdroyd@silis.com,2,17.2,37.5
hwolny@j-texon.com,2,26.5,38.3
jcraghead@singletechno.com,6,19.7,42.9
lcaiafa@groovestreet.com,12,17.9,38.6
lmeteer@plusstrip.com,8,16.8,43.9
mparvis@hottechi.com,3,20.6,47.5
pennaco@doncon.com,4,15.6,35.6
vshields@konmatfix.com,3,23.8,46.3
wemigh@mathtouch.com,3,20.8,41.2
aacey@rundofase.com,1,18.7,44
aalbares@cancity.com,1,23.4,48.5
aaquas@bioholding.com,1,17.5,39.6
aaredondo@plexzap.com,1,22.1,41.1
aaredondo@plexzap.com,4,21.3,34.6
aarias@singletechno.com,2,22.4,62.6
aasar@fasehatice.com,4,22.4,49.7
aauber@cancity.com,2,21.8,44
abarfield@finjob.com,3,22.8,31.6
abarfield@finjob.com,5,22.3,54.4
abevelacqua@zencorporation.com,3,14.9,31.7
abilden@labdrill.com,1,21.5,28.7
abilden@labdrill.com,3,19.1,38
aboord@dambase.com,1,25.3,43.4
aborgman@konex.com,2,21.9,43.5
abrachle@finjob.com,3,16.8,62.2
abrideau@streethex.com,5,26.2,42.8
abruschke@dambase.com,1,16.7,47.2
abruschke@plusstrip.com,2,25.7,45.6
abruschke@plusstrip.com,3,28.9,45
abruschke@plusstrip.com,7,21.6,46.6
abuvens@plusstrip.com,3,21.2,44.2
acaiafa@nam-zim.com,4,27.7,44.1
acalvaresi@ontomedia.com,5,24,34
acantres@dontechi.com,3,20.5,48.9
acantres@dontechi.com,4,19.6,52.5
acantres@sonron.com,2,21,55.7
achavous@groovestreet.com,2,26.6,40.1
achavous@xx-holding.com,1,21.2,52.7
achavous@xx-holding.com,3,22.1,61.8
achickering@rundofase.com,2,18.4,59.7
acoody@bioplex.com,3,28.1,40.2
acork@doncon.com,2,20.4,25.3
adarakjy@plusstrip.com,1,21.7,33.3
adegonia@bioholding.com,2,16.7,50.1
adegonia@bioholding.com,6,28.5,53.8
adegroot@isdom.com,2,24.3,44
adickerson@blackzim.com,1,21.2,22
adiscipio@iselectrics.com,1,26.8,43.7
aehmann@mathtouch.com,6,24.1,39.5
aengelberg@scottech.com,1,22,30
aestell@zathunicon.com,1,24.3,48
afallick@kinnamplus.com,2,19.9,31.3
afarrar@donquadtech.com,2,17.9,13.2
afarrar@donquadtech.com,7,26.3,39.2
afarrar@green-plus.com,2,25.5,29.5
afarrar@kan-code.com,5,19.5,33.1
afelger@doncon.com,3,13.8,53
agato@hatfan.com,4,12.9,41.9
agato@hatfan.com,6,19.7,51.2
agato@hatfan.com,8,22.3,30.2
agato@hatfan.com,9,26.9,48.6
agato@hatfan.com,10,21.6,46.9
agato@ontomedia.com,1,27,62.8
agellinger@condax.com,4,21.4,51.8
agellinger@finhigh.com,3,17,44.4
agillaspie@finhigh.com,2,23.4,43.5
agillian@ron-tech.com,4,23.1,40.4
aglick@treequote.com,2,14.3,52.6
aglick@treequote.com,7,27,41.8
agochal@toughzap.com,2,25.3,33.7
agochal@toughzap.com,3,27.8,37.3
agotter@isdom.com,4,20.4,35.5
agrenet@yearin.com,1,28.5,45.7
ahagele@dontechi.com,1,20,53
ahalsey@plussunin.com,2,26.1,37.4
ahalsey@plussunin.com,3,23.4,41.5
ahalter@sunnamplex.com,3,28.1,30.6
aharabedian@inity.com,2,20.3,35.2
aharabedian@inity.com,3,28.8,55.4
aharnos@bioholding.com,1,26.3,40.2
ahengel@groovestreet.com,1,19.3,49.2
ahochard@hottechi.com,3,22.9,42.5
ahoffis@kan-code.com,1,27,38.2
ahoogland@zencorporation.com,2,22,47.9
ahoogland@zencorporation.com,3,17.3,38.9
ahoogland@zencorporation.com,4,22.7,54.5
ahoopengardner@iselectrics.com,3,31.2,33.7
ahoopengardner@kan-code.com,3,18.1,41.5
ahoopengardner@kan-code.com,5,20.5,37.9
ahoopengardner@kan-code.com,6,15.5,35.8
ahoopengardner@zotware.com,1,28.3,32.9
ahoopengardner@zumgoity.com,2,20.5,35.5
ahusser@toughzap.com,1,19.7,49.3
ajacobos@kan-code.com,2,25.4,36
ajeanty@gogozoom.com,3,25.7,38.4
ajurney@silis.com,4,15.4,33.4
akaniecki@zathunicon.com,2,21.5,39.1
akardas@green-plus.com,1,24.4,32.2
akarpin@faxquote.com,1,17.5,58.2
akarpin@faxquote.com,3,16.9,46.7
akarpin@singletechno.com,2,19.2,73.4
akarpin@singletechno.com,6,27.9,42.9
akeneipp@bioholding.com,1,23.4,28.7
akeneipp@bioholding.com,2,21.2,52.5
aketelsen@ontomedia.com,3,27.9,46.2
akines@labdrill.com,2,25.5,50.3
akitty@fasehatice.com,1,22.3,43.8
akitty@zathunicon.com,2,18.2,44.3
akitty@zathunicon.com,4,23.8,39.8
aklimek@sonron.com,2,30.7,49.7
aklimek@sonron.com,3,19,37.9
aklonowski@donquadtech.com,1,25,40
aklonowski@donquadtech.com,2,17.1,25.1
akolmetz@kinnamplus.com,1,21.9,44.4
akorando@doncon.com,2,22.9,28.7
akorando@finjob.com,2,24.5,53
akorando@finjob.com,4,16.4,51.4
akulzer@scotfind.com,1,17.7,44.7
alace@xx-holding.com,1,19.1,54.4
alace@xx-holding.com,3,15,35
alapage@ontomedia.com,4,25.8,38.3
alary@toughzap.com,1,24.3,34.8
alary@toughzap.com,4,21.9,34.2
alayous@dontechi.com,2,23.5,56.3
alayous@statholdings.com,3,23,40.9
aleinenbach@green-plus.com,1,25.8,27.9
aleinenbach@green-plus.com,2,23.4,50.3
aleinenbach@green-plus.com,3,20.4,29.9
alietz@j-texon.com,1,26.6,42.4
alietz@j-texon.com,3,23.1,55.1
alietz@j-texon.com,5,21.2,36.2
alietz@j-texon.com,8,29.1,41.3
aliukko@hatfan.com,1,24.2,37.6
aloder@rundofase.com,3,20.3,44.1
alungren@faxquote.com,1,23.3,52
alungren@opentech.com,1,19.8,48.3
amai@warephase.com,3,19.6,41.6
amaillard@plexzap.com,3,16.4,44.6
amallett@plussunin.com,3,26.4,44.9
amarrier@hatfan.com,2,22,55.3
amartabano@ron-tech.com,2,26.8,38.5
amartabano@ron-tech.com,3,19.4,43.7
amatuszak@dalttechnology.com,4,24.4,44.4
amaynerich@treequote.com,3,27.6,42.9
amcdoniel@faxquote.com,2,24.9,42.9
ameteer@betatech.com,2,16,49.2
amirafuentes@finhigh.com,2,19.8,36.5
amiro@groovestreet.com,3,22.7,57.8
amonarrez@toughzap.com,1,22.8,37.1
amonarrez@toughzap.com,2,23,47.6
amondella@funholding.com,4,17.1,42.4
amorocco@rantouch.com,1,24.9,52
amoyd@betatech.com,2,22.7,33.7
amugnolo@j-texon.com,1,28.9,36.9
anewville@sunnamplex.com,2,24.9,24.2
anewville@sunnamplex.com,3,25.3,41.9
anewville@warephase.com,3,21,37.4
anicka@zotware.com,3,31.2,39.7
anievas@hottechi.com,3,18.2,41.4
aogg@warephase.com,2,27.9,42.8
aoles@blackzim.com,3,24.2,62.1
aonofrio@conecom.com,1,20.7,50.9
aonofrio@conecom.com,3,24.4,39.1
apadilla@iselectrics.com,1,23,33.1
aparlato@doncon.com,1,21.2,44.3
aparvis@groovestreet.com,1,16.1,44.8
apoquette@faxquote.com,1,21.5,57.5
apoquette@faxquote.com,7,20.7,39.6
apoquette@goodsilron.com,6,26.7,64.2
apugh@lexiqvolax.com,3,20.3,37.8
aradde@scottech.com,1,17,46.8
araymo@funholding.com,2,28.2,28.2
araymo@statholdings.com,1,22.4,41.9
aregusters@lexiqvolax.com,1,16,49.4
areiber@scottech.com,1,25.5,51
areiber@scottech.com,7,24.4,42
areiber@scottech.com,8,25.6,40.3
arowling@stanredtax.com,2,17.7,42.6
arulapaugh@zoomit.com,2,18.4,45.6
arulapaugh@zoomit.com,3,19.1,43.5
arulapaugh@zoomit.com,4,18.4,39.3
aryser@groovestreet.com,1,22.1,51.2
asama@zoomit.com,2,28.4,38.3
asama@zoomit.com,4,17.2,37.1
asaras@green-plus.com,3,23.1,32.2
asaylors@golddex.com,1,23.6,48
ascheyer@ontomedia.com,1,22.6,43.2
ascheyer@ron-tech.com,4,16.3,32.2
aschieler@ron-tech.com,4,25.2,19.6
aschieler@ron-tech.com,7,24.9,63.3
aschnitzler@fasehatice.com,3,27.5,39.9
asergi@labdrill.com,1,17.1,37.5
asergi@labdrill.com,3,27.8,43.9
asergi@stanredtax.com,5,19.4,28
asilvestrini@sunnamplex.com,5,24.2,58.2
askulski@blackzim.com,2,22.9,53.2
askulski@ontomedia.com,1,15.6,55.4
askursky@j-texon.com,2,21.4,56.1
aspickerman@year-job.com,1,22.7,31.3
aspickerman@year-job.com,3,22.5,47.4
aspickerman@year-job.com,4,16.3,43
astenseth@plusstrip.com,2,25.3,31
astenseth@plusstrip.com,5,24.6,46.7
astenseth@stanredtax.com,1,17.9,29.7
astoltzman@zotware.com,3,20.9,40.2
astoltzman@zotware.com,9,24.9,49.3
asweigard@fasehatice.com,4,22.7,60.3
ategarden@treequote.com,3,30,21.6
aturinetti@scotfind.com,5,22.8,60.8
aupthegrove@hatfan.com,6,23.7,32.4
avanausdal@streethex.com,2,27.1,55.4
avanausdal@streethex.com,3,29.6,49
avanheusen@finjob.com,3,25.5,53.1
avanheusen@finjob.com,5,23,41.3
avanheusen@finjob.com,6,25.7,42.8
awaycott@ganjaflex.com,2,26.3,37.4
aweight@cancity.com,2,20.3,44.9
awenner@bioplex.com,3,23.2,42.9
awhobrey@zathunicon.com,3,26,45.3
awiklund@gogozoom.com,3,20.8,34.5
awiklund@gogozoom.com,6,23.5,34.1
aworlds@plussunin.com,5,20.1,46.1
aworlds@plussunin.com,7,24.3,45.8
aworlds@plussunin.com,8,33.9,50.8
aworlds@plussunin.com,10,22.9,55.1
aworlds@stanredtax.com,1,23.8,47.3
awrinkles@statholdings.com,1,22.1,46.7
bagramonte@zumgoity.com,1,22.9,34.9
bahle@golddex.com,2,23.4,46.3
bahle@golddex.com,6,26.6,38.1
bahle@stanredtax.com,3,19.2,41.1
bahle@stanredtax.com,4,28.5,36.6
balbares@hatfan.com,3,23.5,36.7
barias@silis.com,2,29.8,32.4
basar@fasehatice.com,2,20,41.9
bbachman@y-corporation.com,1,23.4,53.7
bbayless@konex.com,2,28.1,51.5
bbeech@scottech.com,2,20.2,25.3
bbergesen@groovestreet.com,1,20.9,65.6
bbergesen@groovestreet.com,2,20.6,53.7
bbergesen@groovestreet.com,3,21,37.8
bblackwood@rangreen.com,2,15.8,51.9
bblackwood@rangreen.com,3,23.2,61.6
bblackwood@rangreen.com,4,26.2,41.9
bblackwood@rangreen.com,9,19.2,41.5
bbowley@hatfan.com,3,25.6,40.7
bbreland@plusstrip.com,1,20.5,51.2
bbreland@plusstrip.com,3,31.9,32.6
bbrossart@konex.com,2,22.9,53.9
bbutt@bioholding.com,2,25.9,44.3
bcalvaresi@codehow.com,1,25.8,38.9
bcantres@donware.com,1,21.6,25
bcentini@hottechi.com,1,20.4,61.4
bcentini@hottechi.com,5,22.8,49.9
bcetta@singletechno.com,3,23.2,54.9
bchavous@kinnamplus.com,1,24.9,52.7
bcolla@golddex.com,2,19.2,50.5
bcolla@mathtouch.com,3,21.3,44.7
bcolla@mathtouch.com,4,26.9,45.2
bcorrio@sunnamplex.com,2,21.5,54.3
bcorrio@sunnamplex.com,4,22.9,35.5
bcousey@nam-zim.com,1,27.5,41
bcousey@statholdings.com,2,21.3,46.9
bcousey@treequote.com,1,28.9,41.6
bcoyier@labdrill.com,2,26.4,51.1
bdaufeldt@lexiqvolax.com,2,25.3,39
bdaufeldt@lexiqvolax.com,3,19.3,32.1
bdewar@fasehatice.com,3,22.4,57.7
bdhamer@mathtouch.com,2,24.5,48.1
bdubaldi@newex.com,3,15.2,44
bdubaldi@newex.com,6,26.5,30.9
beanes@j-texon.com,2,21.4,39
beanes@j-texon.com,3,26.1,50.6
bfallick@funholding.com,2,19,54.8
bfarrow@gogozoom.com,3,19.7,37.9
bfelger@silis.com,2,21.5,34.9
bfelger@year-job.com,4,16,27.3
bfern@dalttechnology.com,1,23,37.1
bfrancescon@toughzap.com,3,21.4,44.8
bfrancescon@yearin.com,1,22.8,45
bfrankel@sunnamplex.com,2,19.5,52.6
bgillaspie@dambase.com,1,23.7,54.6
bgillaspie@dambase.com,3,25.3,51.5
bgochal@scotfind.com,2,24.7,35
bgochal@scotfind.com,5,18.4,55.2
bgochal@scotfind.com,6,26.1,39.8
bgochal@scotfind.com,10,27.7,45.2
bgochal@scotfind.com,13,19.8,54
bgood@green-plus.com,1,18.4,39.2
bgood@green-plus.com,2,29.8,44.7
bhagele@funholding.com,1,26.8,37.3
bhalter@rundofase.com,1,25.5,56.1
bhiatt@ganjaflex.com,2,22.6,38.3
bhoogland@finjob.com,3,22.7,48.6
bhoogland@plussunin.com,1,23.1,46.5
bkampa@betatech.com,2,23.5,45.9
bkampa@betatech.com,3,27.6,55
bkampa@labdrill.com,1,20.4,33.5
bkampa@labdrill.com,3,17.5,35.7
bkiel@stanredtax.com,2,23.4,39.7
bkiel@stanredtax.com,3,30.5,47.3
bkippley@cancity.com,3,22.2,49.9
bkoppinger@rangreen.com,1,15.2,52.2
bkownacki@zencorporation.com,3,18.2,33.1
blinahan@mathtouch.com,2,25.8,66.9
blipke@donware.com,2,26.7,40.7
blipke@rundofase.com,3,21.1,45.3
blipkin@donware.com,2,19,62.7
blipkin@donware.com,3,18.3,40
blizama@zathunicon.com,1,26.4,48
blizama@zathunicon.com,3,19.7,35.7
blother@j-texon.com,2,11.3,45.6
blother@j-texon.com,3,24.4,51.9
blueckenbach@finhigh.com,2,23.9,59
blueckenbach@treequote.com,2,21.1,48.7
bmaclead@streethex.com,3,22.7,38
bmadarang@isdom.com,3,24.1,41.2
bmadarang@konmatfix.com,2,17.5,55.2
bmirafuentes@plexzap.com,3,28.5,54.1
bmulqueen@dalttechnology.com,4,19.5,30.9
bmunns@newex.com,3,23.2,51.9
bmyricks@green-plus.com,2,24.6,45.5
bnievas@ontomedia.com,1,24.2,49.9
bnievas@ontomedia.com,2,17.3,72.7
bostrosky@codehow.com,1,26.1,32.7
bostrosky@codehow.com,2,23.3,30.9
bostrosky@codehow.com,4,26.3,38.5
bpagliuca@bioplex.com,2,15.5,33.3
bplumer@labdrill.com,1,19.7,43.3
bpugh@opentech.com,1,23.1,29.1
bregusters@domzoom.com,2,29.7,40
bregusters@domzoom.com,3,21.2,21.9
brhymes@funholding.com,1,26.6,63.9
bsamara@konmatfix.com,1,20.6,47.3
bsamara@konmatfix.com,3,21.1,43.6
bsaras@golddex.com,2,19.6,49.8
bsaras@golddex.com,4,19.4,49.2
bschirpke@goodsilron.com,1,16.4,26.7
bshields@yearin.com,1,25.6,30.1
bsimilton@opentech.com,7,23.9,42.9
bskulski@kinnamplus.com,4,23,50.3
bspringe@betatech.com,2,19,42.9
bspringe@betatech.com,3,22.6,34
bsteffensmeier@y-corporation.com,3,23.1,47.7
bstoltzman@green-plus.com,4,25.7,55.8
bstoltzman@green-plus.com,6,21.3,39.6
bstoltzman@plusstrip.com,1,24.8,48.9
bstoltzman@plusstrip.com,3,25.2,37.9
bsuell@inity.com,3,17.6,43.5
bsuell@plexzap.com,1,28.9,43.9
bsweigard@nam-zim.com,3,18.9,41
bsweigard@nam-zim.com,4,23.6,34.7
btomasulo@green-plus.com,4,27.2,42.1
