household_email,power_number,battery,kilowatt_hours,energy_source
ctoyama@treequote.com,1,36,16,solar-electric
ctreston@cancity.com,1,78,121,solar-electric
ctromblay@donware.com,1,11,91,solar-electric
cturinetti@donquadtech.com,1,NULL,40,solar-electric
cuyetake@hottechi.com,1,NULL,23,solar-electric
cvanausdal@domzoom.com,1,NULL,53,solar-electric
cvarriano@donquadtech.com,1,NULL,21,solar-electric
cventura@dontechi.com,1,NULL,103,solar-electric
cvonasek@kan-code.com,1,24,19,solar-electric
cwalthall@ontomedia.com,1,NULL,127,solar-electric
cwaymire@conecom.com,1,NULL,16,solar-electric
cweglarz@konex.com,1,51,90,solar-electric
cwesterbeck@silis.com,1,NULL,116,wind
cwolfgramm@groovestreet.com,1,NULL,79,wind
cwolny@conecom.com,1,26,100,solar-electric
cwolny@conecom.com,2,13,69,solar-electric
cyaw@conecom.com,1,10,23,solar-electric
cyaw@xx-holding.com,1,70,131,solar-electric
czepp@betatech.com,1,40,88,solar-electric
czepp@y-corporation.com,1,16,32,solar-electric
dabdallah@bioplex.com,1,NULL,32,solar-electric
dacuff@warephase.com,1,52,37,solar-electric
dagramonte@toughzap.com,1,NULL,101,solar-electric
dangalich@silis.com,1,33,76,solar-electric
dbevelacqua@silis.com,1,10,97,solar-electric
dbilden@kinnamplus.com,1,43,22,wind
dbilden@opentech.com,1,NULL,18,solar-electric
dborgman@y-corporation.com,1,29,95,solar-electric
dborgman@zoomit.com,1,NULL,128,wind
dbourbon@groovestreet.com,1,25,67,solar-electric
dbourbon@plusstrip.com,1,42,62,solar-electric
dbrachle@stanredtax.com,1,15,91,solar-electric
dbreland@inity.com,1,20,33,solar-electric
dbriddick@yearin.com,1,100,171,solar-electric
dbrossart@finjob.com,1,NULL,50,solar-electric
dburnard@scottech.com,1,28,57,wind
dbuvens@iselectrics.com,1,NULL,116,solar-electric
dbuvens@newex.com,1,NULL,41,solar-electric
dcaiafa@ganjaflex.com,1,18,16,solar-electric
dcaldarera@isdom.com,1,NULL,101,solar-electric
dcartan@plexzap.com,1,NULL,61,solar-electric
dchesterfield@isdom.com,1,NULL,56,solar-electric
dcomnick@rundofase.com,1,36,69,solar-electric
dcomnick@rundofase.com,2,NULL,35,solar-electric
dcorrio@codehow.com,1,25,21,solar-electric
dcousey@finjob.com,1,29,73,solar-electric
dcousey@finjob.com,2,13,64,solar-electric
dcoyier@zathunicon.com,1,27,57,solar-electric
ddegonia@silis.com,1,87,151,solar-electric
ddevreese@fasehatice.com,1,18,87,solar-electric
ddinos@toughzap.com,1,NULL,101,wind
ddiscipio@j-texon.com,1,21,35,solar-electric
dehmann@condax.com,1,NULL,101,solar-electric
demard@scotfind.com,1,40,65,solar-electric
demard@zathunicon.com,1,NULL,85,wind
demigh@xx-holding.com,1,88,49,solar-electric
dengelberg@rangreen.com,1,15,15,solar-electric
deroman@scotfind.com,1,15,95,solar-electric
destell@xx-zobam.com,1,NULL,61,solar-electric
dfallick@toughzap.com,1,NULL,24,solar-electric
dfarrow@labdrill.com,1,27,89,solar-electric
dfeichtner@toughzap.com,1,33,96,solar-electric
dfelger@y-corporation.com,1,13,21,wind
dfigeroa@plexzap.com,1,37,174,solar-electric
dfrancescon@plusstrip.com,1,NULL,72,wind
dfrancescon@plusstrip.com,2,NULL,115,solar-electric
dfredicks@j-texon.com,1,NULL,87,solar-electric
dfredicks@j-texon.com,2,13,110,solar-electric
dgehrett@scotfind.com,1,NULL,58,wind
dgellinger@conecom.com,1,37,16,wind
dgesick@rundofase.com,1,NULL,133,solar-electric
dgibes@gogozoom.com,1,35,28,solar-electric
dgillaspie@lexiqvolax.com,1,82,112,wind
dgillian@faxquote.com,1,NULL,51,solar-electric
dgillian@faxquote.com,2,19,20,solar-electric
dgleich@openlane.com,1,85,132,solar-electric
dgochal@bioholding.com,1,19,56,solar-electric
dgochal@toughzap.com,1,NULL,56,solar-electric
dgoldammer@statholdings.com,1,15,15,solar-electric
dgood@gogozoom.com,1,57,61,solar-electric
dhamilton@zotware.com,1,NULL,135,solar-electric
dharnos@rantouch.com,1,26,95,solar-electric
dhaufler@bioplex.com,1,31,89,solar-electric
dheintzman@nam-zim.com,1,39,117,solar-electric
dhengel@silis.com,1,18,181,solar-electric
dhirpara@xx-zobam.com,1,46,18,solar-electric
dhoa@groovestreet.com,1,55,23,solar-electric
dhughey@newex.com,1,40,38,solar-electric
disenhower@iselectrics.com,1,13,143,solar-electric
disenhower@opentech.com,1,79,127,wind
diturbide@isdom.com,1,98,152,solar-electric
djeanty@plusstrip.com,1,39,134,solar-electric
djuvera@xx-zobam.com,1,12,57,solar-electric
djuvera@zencorporation.com,1,91,20,solar-electric
dkines@gogozoom.com,1,53,121,solar-electric
dkines@rangreen.com,1,16,65,solar-electric
dkines@sunnamplex.com,1,NULL,119,solar-electric
dkippley@plexzap.com,1,19,20,wind
dkitty@xx-holding.com,1,17,97,solar-electric
dkohnert@dambase.com,1,23,91,solar-electric
dkoppinger@blackzim.com,1,47,61,solar-electric
dkorando@inity.com,1,12,158,solar-electric
dkulzer@gogozoom.com,1,NULL,90,solar-electric
dlary@scotfind.com,1,103,213,solar-electric
dleinenbach@zumgoity.com,1,16,90,solar-electric
dleto@ganjaflex.com,1,NULL,43,solar-electric
dlother@konmatfix.com,1,69,210,wind
dlother@lexiqvolax.com,1,84,99,solar-electric
dluczki@ganjaflex.com,1,27,16,solar-electric
dluczki@plexzap.com,1,40,37,wind
dmaisto@stanredtax.com,1,16,67,solar-electric
dmaisto@stanredtax.com,2,32,18,solar-electric
dmalvin@domzoom.com,1,NULL,69,solar-electric
dmalvin@domzoom.com,2,NULL,101,solar-electric
dmanno@dontechi.com,1,37,22,wind
dmanno@ron-tech.com,1,24,106,wind
dmaynerich@xx-zobam.com,1,45,60,solar-electric
dmiceli@treequote.com,1,NULL,80,solar-electric
dmorocco@faxquote.com,1,17,110,wind
dmyricks@hatfan.com,1,48,244,solar-electric
dnabours@year-job.com,1,NULL,114,solar-electric
dnicka@sumace.com,1,26,147,solar-electric
dnunlee@isdom.com,1,19,98,solar-electric
dnunlee@isdom.com,2,NULL,121,solar-electric
dogg@inity.com,1,NULL,17,solar-electric
dogg@year-job.com,1,45,19,solar-electric
dpaa@labdrill.com,1,19,107,wind
dpagliuca@stanredtax.com,1,NULL,60,solar-electric
dpalaia@betatech.com,1,62,25,solar-electric
dplumer@plussunin.com,1,24,87,solar-electric
dpolidori@sumace.com,1,36,113,solar-electric
dpontoriero@plexzap.com,1,NULL,58,wind
dpoquette@stanredtax.com,1,72,120,wind
dreiber@openlane.com,1,NULL,145,solar-electric
drestrepo@scotfind.com,1,NULL,160,solar-electric
drim@green-plus.com,1,NULL,19,solar-electric
drochin@j-texon.com,1,40,25,solar-electric
drodefer@statholdings.com,1,62,24,solar-electric
drulapaugh@conecom.com,1,33,33,wind
dryser@zoomit.com,1,12,18,solar-electric
dsamara@finhigh.com,1,17,35,solar-electric
dsamu@finjob.com,1,NULL,20,solar-electric
dsamu@finjob.com,2,NULL,55,solar-electric
dschemmer@iselectrics.com,1,13,146,solar-electric
dschirpke@donquadtech.com,1,110,149,solar-electric
dschmaltz@donware.com,1,95,73,solar-electric
dscipione@labdrill.com,1,32,34,solar-electric
dseewald@plexzap.com,1,39,92,solar-electric
dsemidey@singletechno.com,1,42,23,solar-electric
dshadrick@rantouch.com,1,76,88,solar-electric
dshealy@doncon.com,1,NULL,82,solar-electric
dshin@sonron.com,1,NULL,43,solar-electric
dshinko@zotware.com,1,NULL,138,solar-electric
dsilvestrini@betasoloin.com,1,NULL,20,solar-electric
dsilvestrini@betasoloin.com,2,NULL,81,solar-electric
dskulski@finhigh.com,1,21,20,solar-electric
dskulski@finhigh.com,2,36,52,solar-electric
dskursky@conecom.com,1,37,18,solar-electric
dslusarski@doncon.com,1,13,70,solar-electric
dsteier@openlane.com,1,63,82,solar-electric
dsweigard@xx-holding.com,1,35,60,solar-electric
dsyrop@blackzim.com,1,38,24,wind
dsyrop@codehow.com,1,NULL,22,solar-electric
dtagala@rantouch.com,1,33,89,solar-electric
dtawil@donware.com,1,63,15,wind
dtimenez@gogozoom.com,1,NULL,95,solar-electric
dtoelkes@bioplex.com,1,NULL,24,solar-electric
dtollner@ontomedia.com,1,20,41,solar-electric
dtollner@sumace.com,1,NULL,89,solar-electric
dturinetti@conecom.com,1,47,17,solar-electric
dturinetti@conecom.com,2,10,114,wind
dturinetti@kan-code.com,1,41,22,solar-electric
dturinetti@kan-code.com,2,32,58,solar-electric
dupthegrove@newex.com,1,13,23,solar-electric
dupthegrove@year-job.com,1,42,121,solar-electric
dvanheusen@streethex.com,1,34,64,solar-electric
dvarriano@dalttechnology.com,1,28,63,wind
dvinning@dambase.com,1,NULL,83,solar-electric
dwardrip@inity.com,1,13,16,solar-electric
dwardrip@inity.com,2,11,98,solar-electric
dwardrip@inity.com,3,46,19,solar-electric
dweglarz@hatfan.com,1,NULL,94,solar-electric
dwenner@blackzim.com,1,20,110,solar-electric
dwenner@dambase.com,1,55,115,solar-electric
dwieser@openlane.com,1,NULL,24,wind
dyaw@treequote.com,1,17,128,solar-electric
dyglesias@sonron.com,1,NULL,61,solar-electric
dyori@iselectrics.com,1,15,134,solar-electric
dzurcher@finjob.com,1,20,69,solar-electric
dzurcher@plexzap.com,1,NULL,66,wind
eamyot@sumace.com,1,19,27,solar-electric
earceo@kan-code.com,1,36,115,wind
ebaltimore@labdrill.com,1,66,68,wind
ebayless@rundofase.com,1,22,20,solar-electric
ebergesen@dontechi.com,1,15,36,solar-electric
ebergesen@zoomit.com,1,19,61,solar-electric
eblackwood@domzoom.com,1,34,55,solar-electric
ebreland@konex.com,1,25,41,solar-electric
ebriddick@ontomedia.com,1,25,20,solar-electric
ebuemi@plussunin.com,1,35,39,solar-electric
ecanlas@labdrill.com,1,NULL,120,solar-electric
ecanlas@labdrill.com,2,13,47,solar-electric
ecantres@blackzim.com,1,NULL,23,solar-electric
ecartan@streethex.com,1,22,82,wind
ecoody@treequote.com,1,19,36,solar-electric
ecookey@doncon.com,1,15,40,solar-electric
ecorrington@opentech.com,1,NULL,128,solar-electric
ecoyier@dontechi.com,1,NULL,18,solar-electric
ecoyier@dontechi.com,2,18,46,solar-electric
edarakjy@statholdings.com,1,NULL,89,solar-electric
edegroot@plussunin.com,1,NULL,85,solar-electric
edeleo@kan-code.com,1,NULL,179,solar-electric
edemesa@labdrill.com,1,NULL,92,solar-electric
edilello@doncon.com,1,19,107,solar-electric
edopico@kan-code.com,1,28,23,solar-electric
edubaldi@zumgoity.com,1,15,35,solar-electric
eehmann@fasehatice.com,1,26,18,solar-electric
eehmann@fasehatice.com,2,45,93,solar-electric
eengelberg@bioholding.com,1,40,74,solar-electric
eennaco@domzoom.com,1,44,70,solar-electric
eennaco@domzoom.com,2,NULL,113,solar-electric
eeroman@yearin.com,1,56,58,wind
efarrar@fasehatice.com,1,NULL,57,wind
efeichtner@rangreen.com,1,NULL,54,wind
eferencz@newex.com,1,NULL,124,solar-electric
efredicks@zencorporation.com,1,NULL,70,solar-electric
efredicks@zencorporation.com,2,40,129,solar-electric
egleich@cancity.com,1,126,51,solar-electric
egotter@rundofase.com,1,19,65,solar-electric
egudroe@green-plus.com,1,NULL,19,wind
ehagele@conecom.com,1,52,97,solar-electric
ehauenstein@donware.com,1,18,108,solar-electric
ehudnall@hottechi.com,1,66,162,solar-electric
ejayson@stanredtax.com,1,42,111,solar-electric
ejeanty@donquadtech.com,1,39,82,solar-electric
ejeanty@donware.com,1,14,102,solar-electric
ejeanty@donware.com,2,NULL,63,solar-electric
ejurney@zotware.com,1,NULL,153,wind
ekannady@betatech.com,1,77,20,solar-electric
ekardas@plussunin.com,1,NULL,103,solar-electric
ekarpin@domzoom.com,1,14,95,solar-electric
ekeneipp@sunnamplex.com,1,29,43,solar-electric
ekohl@konmatfix.com,1,47,74,solar-electric
ekolmetz@konex.com,1,NULL,122,solar-electric
ekonopacki@rangreen.com,1,44,44,solar-electric
ekonopacki@zumgoity.com,1,14,28,solar-electric
ekownacki@donquadtech.com,1,NULL,22,solar-electric
ekownacki@donquadtech.com,2,NULL,77,solar-electric
elabreche@hottechi.com,1,NULL,100,solar-electric
elapage@mathtouch.com,1,25,19,solar-electric
elietz@betasoloin.com,1,61,126,solar-electric
elindall@goodsilron.com,1,18,49,wind
ementer@fasehatice.com,1,NULL,36,solar-electric
emerced@silis.com,1,83,151,solar-electric
emodzelewski@donquadtech.com,1,NULL,51,wind
emodzelewski@scotfind.com,1,13,69,solar-electric
emulqueen@stanredtax.com,1,29,111,solar-electric
emyricks@betatech.com,1,13,56,solar-electric
enunlee@dalttechnology.com,1,NULL,85,solar-electric
eoldroyd@dalttechnology.com,1,28,15,solar-electric
epagliuca@singletechno.com,1,43,42,solar-electric
eperez@newex.com,1,NULL,75,solar-electric
eperin@fasehatice.com,1,21,118,wind
eperin@golddex.com,1,17,20,solar-electric
eplumer@kinnamplus.com,1,74,83,solar-electric
epolidori@rantouch.com,1,55,36,wind
eraymo@plussunin.com,1,60,109,wind
ereiber@zathunicon.com,1,NULL,52,wind
erentfro@codehow.com,1,21,72,solar-electric
erestrepo@xx-holding.com,1,102,111,solar-electric
erodenberger@betasoloin.com,1,17,76,solar-electric
erodenberger@betasoloin.com,2,19,116,solar-electric
erowling@xx-holding.com,1,10,25,solar-electric
erulapaugh@dontechi.com,1,18,108,solar-electric
erulapaugh@groovestreet.com,1,NULL,33,solar-electric
erulapaugh@silis.com,1,NULL,27,solar-electric
eschemmer@zoomit.com,1,93,56,solar-electric
eschieler@y-corporation.com,1,110,122,solar-electric
eschmaltz@streethex.com,1,21,32,solar-electric
eschnitzler@zoomit.com,1,44,89,solar-electric
esemidey@dontechi.com,1,33,63,solar-electric
esengbusch@betasoloin.com,1,NULL,68,solar-electric
esimilton@blackzim.com,1,17,24,wind
esimilton@blackzim.com,2,12,46,solar-electric
eskursky@singletechno.com,1,NULL,132,solar-electric
estaback@silis.com,1,24,60,solar-electric
estaback@stanredtax.com,1,24,58,solar-electric
esteier@newex.com,1,NULL,70,solar-electric
estem@zoomit.com,1,51,57,solar-electric
estimmel@stanredtax.com,1,11,29,solar-electric
esuffield@groovestreet.com,1,94,155,solar-electric
eswayze@sunnamplex.com,1,NULL,45,solar-electric
etegarden@plexzap.com,1,122,15,solar-electric
ethyberg@rangreen.com,1,35,20,solar-electric
etollner@opentech.com,1,25,21,solar-electric
etoyama@y-corporation.com,1,30,52,solar-electric
etromblay@sonron.com,1,14,27,solar-electric
eupthegrove@zumgoity.com,1,NULL,73,solar-electric
evillanueva@hottechi.com,1,17,22,wind
evillanueva@scottech.com,1,32,65,solar-electric
evocelka@opentech.com,1,NULL,110,solar-electric
ewalthall@betasoloin.com,1,NULL,124,solar-electric
ewardrip@ontomedia.com,1,23,20,solar-electric
ezagen@silis.com,1,32,58,solar-electric
ezepp@zathunicon.com,1,28,73,solar-electric
fagramonte@fasehatice.com,1,NULL,102,solar-electric
fankeny@year-job.com,1,26,45,solar-electric
farceo@bioplex.com,1,NULL,27,solar-electric
fbarfield@y-corporation.com,1,33,105,solar-electric
fbirkner@streethex.com,1,NULL,33,solar-electric
fbitsuie@finhigh.com,1,21,39,solar-electric
fbitsuie@inity.com,1,36,65,solar-electric
fbubash@nam-zim.com,1,14,73,solar-electric
fcampain@mathtouch.com,1,42,29,solar-electric
fchaffins@xx-holding.com,1,NULL,61,solar-electric
fchui@conecom.com,1,NULL,53,solar-electric
fcloney@rantouch.com,1,62,23,solar-electric
fcolaizzo@green-plus.com,1,30,24,solar-electric
fcorrio@plussunin.com,1,NULL,84,solar-electric
fcorrio@plussunin.com,2,13,22,solar-electric
fdenooyer@newex.com,1,17,65,wind
fduenas@labdrill.com,1,20,27,solar-electric
fennaco@mathtouch.com,1,29,63,solar-electric
fennaco@toughzap.com,1,10,18,solar-electric
ffern@fasehatice.com,1,31,149,solar-electric
ffern@fasehatice.com,2,NULL,38,solar-electric
ffigeroa@isdom.com,1,20,218,solar-electric
ffishburne@groovestreet.com,1,19,68,wind
fflister@ganjaflex.com,1,18,130,solar-electric
ffortino@faxquote.com,1,29,18,solar-electric
ffredicks@ganjaflex.com,1,30,125,solar-electric
fgabisi@ontomedia.com,1,26,19,solar-electric
fhamilton@golddex.com,1,36,24,solar-electric
fharabedian@xx-zobam.com,1,NULL,16,solar-electric
fhaufler@donquadtech.com,1,NULL,84,solar-electric
fherritt@singletechno.com,1,NULL,63,wind
fhixenbaugh@treequote.com,1,NULL,81,wind
finouye@y-corporation.com,1,21,95,solar-electric
fisenhower@betasoloin.com,1,NULL,46,solar-electric
fjurney@isdom.com,1,NULL,46,solar-electric
fjuvera@kinnamplus.com,1,NULL,23,solar-electric
fkaniecki@plussunin.com,1,34,21,wind
fkannady@treequote.com,1,NULL,18,wind
fkannady@treequote.com,2,12,51,wind
fklang@ganjaflex.com,1,15,98,solar-electric
flary@doncon.com,1,31,186,solar-electric
flatzke@mathtouch.com,1,21,115,solar-electric
fleto@isdom.com,1,29,136,solar-electric
fleto@sumace.com,1,19,77,solar-electric
flizama@dontechi.com,1,NULL,42,wind
floder@openlane.com,1,20,41,solar-electric
florens@y-corporation.com,1,43,35,solar-electric
fmaillard@codehow.com,1,33,78,wind
fmalet@sunnamplex.com,1,18,52,solar-electric
fmalet@sunnamplex.com,2,19,88,solar-electric
fmcrae@condax.com,1,26,44,solar-electric
fmodzelewski@conecom.com,1,NULL,35,solar-electric
fmorasca@domzoom.com,1,10,87,solar-electric
fmulqueen@donquadtech.com,1,34,87,solar-electric
fnewville@bioplex.com,1,55,20,solar-electric
fnunlee@dalttechnology.com,1,41,110,solar-electric
fonofrio@inity.com,1,NULL,151,solar-electric
fpatak@bioplex.com,1,NULL,54,solar-electric
fpatak@bioplex.com,2,15,72,wind
fpedrozo@domzoom.com,1,25,60,solar-electric
fpelkowski@sumace.com,1,38,84,solar-electric
fpontoriero@ron-tech.com,1,NULL,115,solar-electric
fpoquette@conecom.com,1,33,37,solar-electric
fpoquette@conecom.com,2,19,66,solar-electric
fpoquette@rantouch.com,1,NULL,57,wind
fpoullion@iselectrics.com,1,113,79,solar-electric
freiber@ganjaflex.com,1,19,98,solar-electric
frentfro@donware.com,1,15,42,solar-electric
frowling@doncon.com,1,11,17,solar-electric
frulapaugh@finjob.com,1,145,30,solar-electric
frulapaugh@stanredtax.com,1,74,70,solar-electric
fscriven@streethex.com,1,47,44,solar-electric
fshinko@iselectrics.com,1,NULL,17,solar-electric
fsimilton@toughzap.com,1,25,78,solar-electric
fslusarski@dalttechnology.com,1,NULL,80,solar-electric
fstem@isdom.com,1,26,24,wind
fstem@zotware.com,1,NULL,212,solar-electric
ftomasulo@ron-tech.com,1,13,236,solar-electric
fvocelka@conecom.com,1,NULL,120,solar-electric
fwalthall@ganjaflex.com,1,NULL,19,solar-electric
fwaycott@betatech.com,1,NULL,75,solar-electric
fwenner@j-texon.com,1,NULL,35,solar-electric
fwhobrey@plussunin.com,1,42,67,wind
fwiklund@groovestreet.com,1,73,169,solar-electric
fwildfong@inity.com,1,NULL,106,solar-electric
fwildfong@inity.com,2,NULL,79,solar-electric
fwolny@yearin.com,1,NULL,89,solar-electric
fworlds@stanredtax.com,1,32,42,solar-electric
fyori@opentech.com,1,NULL,98,solar-electric
gamyot@nam-zim.com,1,NULL,69,solar-electric
garceo@funholding.com,1,20,52,wind
garceo@labdrill.com,1,11,42,solar-electric
gasar@cancity.com,1,NULL,77,solar-electric
gasar@konmatfix.com,1,12,29,solar-electric
gauffrey@hottechi.com,1,NULL,22,solar-electric
gauffrey@konmatfix.com,1,14,80,solar-electric
gauffrey@konmatfix.com,2,NULL,83,solar-electric
gbachman@golddex.com,1,NULL,49,solar-electric
gbarfield@statholdings.com,1,25,47,solar-electric
gbarfield@statholdings.com,2,NULL,102,solar-electric
gbatman@streethex.com,1,NULL,70,solar-electric
gberray@hottechi.com,1,28,32,solar-electric
gberray@hottechi.com,2,28,38,solar-electric
gbrossart@goodsilron.com,1,21,22,solar-electric
gburnard@cancity.com,1,50,58,wind
gbutzen@streethex.com,1,88,142,wind
gbuzick@yearin.com,1,34,78,solar-electric
gcaiafa@j-texon.com,1,17,62,solar-electric
gcampain@fasehatice.com,1,NULL,89,wind
gcanlas@ganjaflex.com,1,36,123,solar-electric
gcetta@zoomit.com,1,NULL,89,solar-electric
gchaffins@stanredtax.com,1,11,85,solar-electric
gchui@fasehatice.com,1,17,70,wind
gcorrington@ontomedia.com,1,NULL,70,solar-electric
gcorrington@ontomedia.com,2,19,113,wind
gcorrington@y-corporation.com,1,26,74,solar-electric
gcoyier@cancity.com,1,45,71,solar-electric
gcronauer@xx-holding.com,1,18,35,solar-electric
gdelasancha@hottechi.com,1,42,44,solar-electric
gdelasancha@hottechi.com,2,34,27,solar-electric
gdelasancha@scottech.com,1,37,111,solar-electric
gdelasancha@scottech.com,2,27,88,solar-electric
gdelasancha@sumace.com,1,10,51,solar-electric
gdilliard@groovestreet.com,1,18,69,solar-electric
gduenas@iselectrics.com,1,37,78,solar-electric
gduenas@iselectrics.com,2,NULL,20,solar-electric
gduenas@lexiqvolax.com,1,NULL,18,solar-electric
gehmann@cancity.com,1,17,131,solar-electric
gennaco@rundofase.com,1,95,269,wind
geroman@xx-holding.com,1,49,98,solar-electric
geschberger@donware.com,1,15,18,solar-electric
gfishburne@dambase.com,1,NULL,165,solar-electric
gflosi@faxquote.com,1,108,156,solar-electric
ggabisi@ganjaflex.com,1,NULL,102,solar-electric
ggellinger@codehow.com,1,18,103,wind
ggellinger@xx-zobam.com,1,NULL,72,solar-electric
ggiguere@iselectrics.com,1,NULL,17,wind
ggiguere@iselectrics.com,2,25,50,solar-electric
ggiguere@scotfind.com,1,62,63,solar-electric
ggiguere@singletechno.com,1,27,21,solar-electric
ggillian@scottech.com,1,NULL,145,solar-electric
ggillian@scottech.com,2,15,67,solar-electric
gglick@sonron.com,1,24,17,solar-electric
ggood@silis.com,1,120,180,solar-electric
ggood@xx-holding.com,1,24,59,wind
ggotter@zumgoity.com,1,NULL,60,solar-electric
ggreenbush@zotware.com,1,NULL,143,wind
ggrenet@faxquote.com,1,54,93,solar-electric
ghagele@bioholding.com,1,NULL,177,solar-electric
ghamilton@doncon.com,1,NULL,26,solar-electric
ghamilton@ganjaflex.com,1,NULL,32,solar-electric
ghoa@inity.com,1,22,15,solar-electric
ghoffis@dambase.com,1,NULL,22,solar-electric
ghoffis@ganjaflex.com,1,26,38,wind
ghughey@golddex.com,1,22,95,solar-electric
ghughey@konex.com,1,15,83,wind
ghughey@y-corporation.com,1,19,22,solar-electric
gkannady@yearin.com,1,NULL,102,solar-electric
gkarpel@goodsilron.com,1,NULL,50,solar-electric
gkeener@plussunin.com,1,31,78,solar-electric
gkeener@plussunin.com,2,46,99,solar-electric
gkiel@plussunin.com,1,NULL,70,solar-electric
gkines@zumgoity.com,1,12,86,solar-electric
gkippley@xx-holding.com,1,38,20,solar-electric
gklusman@openlane.com,1,NULL,31,solar-electric
gkolmetz@nam-zim.com,1,21,42,solar-electric
glimmel@lexiqvolax.com,1,26,29,solar-electric
glipke@zathunicon.com,1,102,77,solar-electric
glipkin@iselectrics.com,1,35,24,solar-electric
glipkin@iselectrics.com,2,NULL,38,solar-electric
gloader@dontechi.com,1,NULL,62,solar-electric
glukasik@streethex.com,1,NULL,107,solar-electric
gmadarang@dalttechnology.com,1,13,150,wind
gmadarang@lexiqvolax.com,1,NULL,70,solar-electric
gmaybury@opentech.com,1,30,104,solar-electric
gmccullan@opentech.com,1,NULL,109,solar-electric
gmeinerding@fasehatice.com,1,18,138,solar-electric
gmeteer@scottech.com,1,NULL,19,solar-electric
gmeteer@scottech.com,2,28,120,solar-electric
gmiceli@yearin.com,1,NULL,75,solar-electric
gmirafuentes@condax.com,1,NULL,75,solar-electric
gmodzelewski@xx-holding.com,1,23,24,solar-electric
gmodzelewski@xx-holding.com,2,50,53,solar-electric
gmorasca@sunnamplex.com,1,NULL,91,wind
gmunis@kan-code.com,1,57,68,solar-electric
gnicolozakes@dambase.com,1,54,136,solar-electric
gnievas@plexzap.com,1,39,80,solar-electric
gostrosky@zoomit.com,1,35,41,solar-electric
gostrosky@zoomit.com,2,NULL,21,solar-electric
gpalaia@xx-zobam.com,1,33,56,solar-electric
gpedrozo@betatech.com,1,17,41,solar-electric
gperez@zumgoity.com,1,33,105,solar-electric
gperez@zumgoity.com,2,35,158,solar-electric
gperin@treequote.com,1,83,130,solar-electric
grentfro@treequote.com,1,64,107,wind
grochin@opentech.com,1,52,64,solar-electric
grodeigues@hatfan.com,1,NULL,51,solar-electric
grodeigues@treequote.com,1,26,53,solar-electric
grodeigues@treequote.com,2,NULL,22,solar-electric
grodenberger@lexiqvolax.com,1,25,117,solar-electric
grulapaugh@codehow.com,1,22,76,solar-electric
gryser@codehow.com,1,39,31,solar-electric
gsahagun@rangreen.com,1,NULL,209,solar-electric
gsamu@funholding.com,1,16,53,solar-electric
gsamu@warephase.com,1,NULL,117,solar-electric
gsamu@warephase.com,2,NULL,42,wind
gsamu@warephase.com,3,34,24,solar-electric
gsaras@doncon.com,1,24,85,wind
gsarbacher@conecom.com,1,37,24,wind
gsarbacher@conecom.com,2,NULL,15,solar-electric
gsarbacher@conecom.com,3,25,79,wind
gschieler@finhigh.com,1,51,18,solar-electric
gscriven@plexzap.com,1,NULL,163,solar-electric
gshadrick@plusstrip.com,1,NULL,89,wind
gshadrick@plusstrip.com,2,26,61,solar-electric
gshinko@silis.com,1,60,128,solar-electric
gshire@kinnamplus.com,1,42,104,solar-electric
gsilvestrini@toughzap.com,1,11,45,wind
gstoltzman@streethex.com,1,46,35,wind
gsweigard@faxquote.com,1,42,36,solar-electric
gtagala@dambase.com,1,35,27,solar-electric
gtegarden@ron-tech.com,1,NULL,47,solar-electric
gtheodorov@funholding.com,1,NULL,103,solar-electric
gtheodorov@funholding.com,2,15,46,solar-electric
gthyberg@ron-tech.com,1,20,52,wind
gtjepkema@codehow.com,1,47,227,solar-electric
gtomasulo@year-job.com,1,33,111,solar-electric
gtomblin@statholdings.com,1,39,49,solar-electric
gtoyama@streethex.com,1,NULL,66,solar-electric
gtoyama@streethex.com,2,50,90,solar-electric
gtromblay@singletechno.com,1,NULL,113,solar-electric
gvanheusen@faxquote.com,1,21,66,solar-electric
gventura@toughzap.com,1,73,88,wind
gwaycott@goodsilron.com,1,39,108,solar-electric
gweglarz@opentech.com,1,57,23,solar-electric
gwieser@bioholding.com,1,NULL,67,solar-electric
gwiklund@cancity.com,1,NULL,67,solar-electric
gwildfong@kan-code.com,1,31,66,solar-electric
gworlds@lexiqvolax.com,1,61,219,solar-electric
gwrinkles@hatfan.com,1,51,18,wind
gwrinkles@hatfan.com,2,31,156,solar-electric
gzagen@donware.com,1,10,78,solar-electric
gzurcher@bioplex.com,1,NULL,78,solar-electric
hauffrey@sonron.com,1,15,40,solar-electric
hbarfield@isdom.com,1,10,110,solar-electric
hbevelacqua@inity.com,1,NULL,17,wind
hblackwood@konex.com,1,34,91,solar-electric
hbrachle@nam-zim.com,1,NULL,85,solar-electric
hburnard@finjob.com,1,57,109,solar-electric
hbuvens@betatech.com,1,21,31,solar-electric
hcampain@scotfind.com,1,66,150,solar-electric
hcandlish@kinnamplus.com,1,NULL,56,solar-electric
hcanlas@gogozoom.com,1,NULL,87,solar-electric
hchavous@gogozoom.com,1,27,19,solar-electric
hchavous@gogozoom.com,2,38,19,solar-electric
hcork@betatech.com,1,43,85,solar-electric
hcoyier@goodsilron.com,1,32,72,solar-electric
hcrupi@dontechi.com,1,38,56,solar-electric
hcrupi@dontechi.com,2,17,75,solar-electric
hdelasancha@finjob.com,1,NULL,31,solar-electric
